,cluster_name,DC Name,Cluster Region (Prod/Non Prod),Cluster Type,Active,reporting_date,no_of_hosts,core_per_host,ram_per_host, vcpu_allocated,vram_allocated
0,Atlanta UCS Cluster 1,Atlanta,NonProd,Vmware,TRUE,10-12-2020,3,24,384,102,289
1,SHK DATABASE CLUSTER,SHK,Prod,Vmware,TRUE,10-12-2020,6,32,3072,882,3834
2,SHK DATABASE CLUSTER2,SHK,Prod,Vmware,TRUE,10-12-2020,2,32,3072,0,0
3,SHK DB2 Cluster,SHK,Prod,Vmware,TRUE,10-12-2020,7,36,768,106,710
4,SHK NONBILLABLE CLUSTER,SHK,Prod,Vmware,TRUE,10-12-2020,3,36,768,394,1277
5,SHK GENESYS CLUSTER,SHK,Prod,Vmware,TRUE,10-12-2020,7,36,768,1204,3414
6,SHK GemFire Cluster,SHK,Prod,Vmware,TRUE,10-12-2020,4,36,768,66,280
7,SHK Jboss Cluster,SHK,Prod,Vmware,TRUE,10-12-2020,10,36,768,1497,3220
8,SHK DENSE WINDOWS CLUSTER,SHK,prod,Vmware,TRUE,10-12-2020,5,72,3072,802,3612
9,SHK LARGE WINDOWS,SHK,Prod,Vmware,TRUE,10-12-2020,4,32,3072,56,408
10,SHK Management,SHK,Prod,Vmware,TRUE,10-12-2020,4,36,768,243,718
11,SHK Platinum Linux Prod1,SHK,Prod,Vmware,TRUE,10-12-2020,4,36,768,352,744
12,SHK Platinum Windows Prod1,SHK,Prod,Vmware,TRUE,10-12-2020,3,36,768,76,220
13,SHK TENANT LINUX PROD2,SHK,Prod,Vmware,TRUE,10-12-2020,12,36,768,1973,6438
14,SHK TENANT WINDOWS PROD2,SHK,Prod,Vmware,TRUE,10-12-2020,9,36,768,1629,4683
15,SHK Tenant Linux Prod1,SHK,Prod,Vmware,TRUE,10-12-2020,12,36,768,2273,7020
16,SHK Tenant Windows Prod1,SHK,Prod,Vmware,TRUE,10-12-2020,12,36,768,1652,5379
17,STR DATABASE CLUSTER2,STR,Prod,Vmware,TRUE,10-12-2020,6,32,3072,662,2638
18,STR DB2 CLUSTER,STR,Prod,Vmware,TRUE,10-12-2020,15,36,768,294,3167
19,STR DENSE WINDOWS  CLUSTER,STR,Prod,Vmware,TRUE,10-12-2020,4,72,3072,910,3092
20,STR Database Cluster,STR,Prod,Vmware,TRUE,10-12-2020,6,32,3072,860,3583
21,STR GEMFIRE CLUSTER,STR,Prod,Vmware,TRUE,10-12-2020,3,36,768,88,368
22,STR GENESYS CLUSTER,STR,Prod,Vmware,TRUE,10-12-2020,7,36,768,1312,3894
23,STR JBOSS CLUSTER2,STR,Prod,Vmware,TRUE,10-12-2020,7,36,768,1293,2705
24,STR JBOSS Cluster1,STR,Prod,Vmware,TRUE,10-12-2020,11,36,768,2425,4332
25,STR Large Windows,STR,Prod,Vmware,FALSE,10-12-2020,3,32,3072,0,0
26,STR Management,STR,Prod,Vmware,TRUE,10-12-2020,4,36,768,210,648
27,STR NON-SENSITIVE LINUX2,STR,Prod,Vmware,TRUE,10-12-2020,14,36,1535,3896,12144
28,STR NON-SENSITIVE WINDOWS2,STR,Prod,Vmware,TRUE,10-12-2020,12,36,1535,2596,7311
29,STR Non-Sensitive Linux,STR,Prod,Vmware,TRUE,10-12-2020,14,36,1535,4452,15127
30,STR Non-Sensitive Windows,STR,Prod,Vmware,TRUE,10-12-2020,10,36,1535,1904,5919
31,STR Platinum Linux Prod1,STR,Prod,Vmware,TRUE,10-12-2020,6,36,768,985,2416
32,STR Platinum Windows Prod1,STR,Prod,Vmware,TRUE,10-12-2020,3,36,768,216,604
33,Windsor UCS Cluster 1,Windsor,NonProd,Vmware,TRUE,10-12-2020,3,24,384,192,485
34,Des Moines UCS Cluster 1,Des Moines,NonProd,Vmware,TRUE,10-12-2020,3,24,384,77,200
35,West Chester UCS Cluster 1,West Chester,NonProd,Vmware,TRUE,10-12-2020,3,24,384,178,429
36,Braintree UCS Cluster 1,BrainTree,NonProd,Vmware,TRUE,10-12-2020,3,24,384,90,274
37,STR NonBillable Cluster,STR,Prod,Vmware,TRUE,10-12-2020,4,36,1535,321,864
38,STR NON-PROD LINUX,STR,NonProd,Vmware,TRUE,10-12-2020,3,36,1535,642,2284
39,Chandler UCS Cluster 1,MPL,NonProd,Vmware,TRUE,10-12-2020,3,24,384,44,120
40,SHK DENSE LINUX CLUSTER,SHK,Prod,Vmware,TRUE,10-12-2020,5,72,3071,990,4106
41,STR NON-PROD WINDOWS,STR,NonProd,Vmware,TRUE,10-12-2020,3,36,1535,426,1256
42,STR NON-PROD JBOSS,STR,NonProd,Vmware,TRUE,10-12-2020,3,36,1535,354,540
43,STR DENSE LINUX CLUSTER,STR,Prod,Vmware,TRUE,10-12-2020,5,72,3071,256,808
44,SHK pcf AZ1,SHK,Prod,Vmware,TRUE,10-12-2020,3,36,1535,0,0
45,SHK pcf2 AZ2,SHK,Prod,Vmware,TRUE,10-12-2020,2,36,1535,0,0
46,cluster_name,DC Name,Cluster Region (Prod/Non Prod),Cluster Type,Active,reporting_date,no_of_hosts,core_per_host,ram_per_host, vcpu_allocated,vram_allocated
47,Atlanta UCS Cluster 1,Atlanta,NonProd,Vmware,TRUE,9/28/2020,3,24,384,102,279
48,SHK DATABASE CLUSTER,SHK,Prod,Vmware,TRUE,9/28/2020,4,32,3072,826,3552
49,SHK DATABASE CLUSTER2,SHK,Prod,Vmware,TRUE,9/28/2020,4,32,3072,48,240
50,SHK DB2 Cluster,SHK,Prod,Vmware,TRUE,9/28/2020,7,36,768,96,630
51,SHK NONBILLABLE CLUSTER,SHK,Prod,Vmware,TRUE,9/28/2020,3,36,768,445,1417
52,SHK GENESYS CLUSTER,SHK,Prod,Vmware,TRUE,9/28/2020,7,36,768,1204,3414
53,SHK GemFire Cluster,SHK,Prod,Vmware,TRUE,9/28/2020,4,36,768,66,280
54,SHK Jboss Cluster,SHK,Prod,Vmware,TRUE,9/28/2020,10,36,768,1455,3170
55,SHK DENSE WINDOWS CLUSTER,SHK,prod,Vmware,TRUE,9/28/2020,5,72,3072,802,3612
56,SHK LARGE WINDOWS,SHK,Prod,Vmware,TRUE,9/28/2020,4,32,3072,56,408
57,SHK Management,SHK,Prod,Vmware,TRUE,9/28/2020,4,36,768,243,718
58,SHK Platinum Linux Prod1,SHK,Prod,Vmware,TRUE,9/28/2020,4,36,768,348,740
59,SHK Platinum Windows Prod1,SHK,Prod,Vmware,TRUE,9/28/2020,3,36,768,76,220
60,SHK TENANT LINUX PROD2,SHK,Prod,Vmware,TRUE,9/28/2020,12,36,768,1992,6498
61,SHK TENANT WINDOWS PROD2,SHK,Prod,Vmware,TRUE,9/28/2020,9,36,768,1641,4715
62,SHK Tenant Linux Prod1,SHK,Prod,Vmware,TRUE,9/28/2020,12,36,768,2173,6708
63,SHK Tenant Windows Prod1,SHK,Prod,Vmware,TRUE,9/28/2020,12,36,768,1654,5387
64,STR DATABASE CLUSTER2,STR,Prod,Vmware,TRUE,9/28/2020,6,32,3072,662,2632
65,STR DB2 CLUSTER,STR,Prod,Vmware,TRUE,9/28/2020,15,36,768,284,3005
66,STR DENSE WINDOWS  CLUSTER,STR,Prod,Vmware,TRUE,9/28/2020,3,72,3072,908,3088
67,STR Database Cluster,STR,Prod,Vmware,TRUE,9/28/2020,6,32,3072,828,3513
68,STR GEMFIRE CLUSTER,STR,Prod,Vmware,TRUE,9/28/2020,3,36,768,108,440
69,STR GENESYS CLUSTER,STR,Prod,Vmware,TRUE,9/28/2020,7,36,768,1312,3894
70,STR JBOSS CLUSTER2,STR,Prod,Vmware,TRUE,9/28/2020,7,36,768,1287,2696
71,STR JBOSS Cluster1,STR,Prod,Vmware,TRUE,9/28/2020,11,36,768,2321,4194
72,STR Large Windows,STR,Prod,Vmware,FALSE,9/28/2020,3,32,3072,0,0
73,STR Management,STR,Prod,Vmware,TRUE,9/28/2020,4,36,768,210,648
74,STR NON-SENSITIVE LINUX2,STR,Prod,Vmware,TRUE,9/28/2020,14,36,1535,4003,12377
75,STR NON-SENSITIVE WINDOWS2,STR,Prod,Vmware,TRUE,9/28/2020,12,36,1535,2610,7343
76,STR Non-Sensitive Linux,STR,Prod,Vmware,TRUE,9/28/2020,14,36,1535,4504,15236
77,STR Non-Sensitive Windows,STR,Prod,Vmware,TRUE,9/28/2020,10,36,1535,1900,5903
78,STR Platinum Linux Prod1,STR,Prod,Vmware,TRUE,9/28/2020,6,36,768,971,2383
79,STR Platinum Windows Prod1,STR,Prod,Vmware,TRUE,9/28/2020,3,36,768,216,604
80,Windsor UCS Cluster 1,Windsor,NonProd,Vmware,TRUE,9/28/2020,3,24,384,194,479
81,Des Moines UCS Cluster 1,Des Moines,NonProd,Vmware,TRUE,9/28/2020,3,24,384,77,200
82,West Chester UCS Cluster 1,West Chester,NonProd,Vmware,TRUE,9/28/2020,3,24,384,178,419
83,Braintree UCS Cluster 1,BrainTree,NonProd,Vmware,TRUE,9/28/2020,3,24,384,90,264
84,STR NonBillable Cluster,STR,Prod,Vmware,TRUE,9/28/2020,4,36,1535,413,1124
85,STR NON-PROD LINUX,STR,NonProd,Vmware,TRUE,9/28/2020,3,36,1535,642,2272
86,Chandler UCS Cluster 1,MPL,NonProd,Vmware,TRUE,9/28/2020,3,24,384,44,120
87,SHK DENSE LINUX CLUSTER,SHK,Prod,Vmware,TRUE,9/28/2020,5,72,3071,986,4119
88,STR NON-PROD WINDOWS,STR,NonProd,Vmware,TRUE,9/28/2020,3,36,1535,426,1256
89,STR NON-PROD JBOSS,STR,NonProd,Vmware,TRUE,9/28/2020,3,36,1535,346,532
90,STR DENSE LINUX CLUSTER,STR,Prod,Vmware,TRUE,9/28/2020,5,72,3071,232,744
91,SHK pcf AZ1,SHK,Prod,Vmware,TRUE,9/28/2020,3,36,1535,0,0
92,SHK pcf2 AZ2,SHK,Prod,Vmware,TRUE,9/28/2020,2,36,1535,0,0
93,cluster_name,DC Name,Cluster Region (Prod/Non Prod),Cluster Type,Active,reporting_date,no_of_hosts,core_per_host,ram_per_host, vcpu_allocated,vram_allocated
94,Atlanta UCS Cluster 1,Atlanta,NonProd,Vmware,TRUE,8/24/2020,3,24,384,102,279
95,MPL Prod Silver Cluster 1,Mpl,NonProd,Vmware,TRUE,8/24/2020,0,48,512,0,0
96,SHK DATABASE CLUSTER,SHK,Prod,Vmware,TRUE,8/24/2020,4,32,3072,524,2134
97,SHK DATABASE CLUSTER2,SHK,Prod,Vmware,TRUE,8/24/2020,4,32,3072,330,1572
98,SHK DB2 Cluster,SHK,Prod,Vmware,TRUE,8/24/2020,7,36,768,52,406
99,SHK NONBILLABLE CLUSTER,SHK,Prod,Vmware,TRUE,8/24/2020,3,36,768,437,1413
100,SHK GENESYS CLUSTER,SHK,Prod,Vmware,TRUE,8/24/2020,7,36,768,1204,3414
101,SHK GemFire Cluster,SHK,Prod,Vmware,TRUE,8/24/2020,4,36,768,72,280
102,SHK Jboss Cluster,SHK,Prod,Vmware,TRUE,8/24/2020,10,36,768,1451,3130
103,SHK DENSE WINDOWS CLUSTER,SHK,prod,Vmware,TRUE,8/24/2020,3,72,3072,308,1152
104,SHK LARGE WINDOWS,SHK,Prod,Vmware,TRUE,8/24/2020,4,32,3072,534,2283
105,SHK Management,SHK,Prod,Vmware,TRUE,8/24/2020,4,36,768,243,718
106,SHK Platinum Linux Prod1,SHK,Prod,Vmware,TRUE,8/24/2020,4,36,768,326,686
107,SHK Platinum Windows Prod1,SHK,Prod,Vmware,TRUE,8/24/2020,3,36,768,76,220
108,SHK TENANT LINUX PROD2,SHK,Prod,Vmware,TRUE,8/24/2020,12,36,768,2158,7561
109,SHK TENANT WINDOWS PROD2,SHK,Prod,Vmware,TRUE,8/24/2020,9,36,768,1471,4352
110,SHK Tenant Linux Prod1,SHK,Prod,Vmware,TRUE,8/24/2020,12,36,768,2310,8005
111,SHK Tenant Windows Prod1,SHK,Prod,Vmware,TRUE,8/24/2020,12,36,768,1818,6301
112,STR DATABASE CLUSTER2,STR,Prod,Vmware,TRUE,8/24/2020,6,32,3072,646,2532
113,STR DB2 CLUSTER,STR,Prod,Vmware,TRUE,8/24/2020,15,36,768,192,2448
114,STR DENSE WINDOWS  CLUSTER,STR,Prod,Vmware,TRUE,8/24/2020,3,72,3072,908,3088
115,STR Database Cluster,STR,Prod,Vmware,TRUE,8/24/2020,6,32,3072,840,3643
116,STR GEMFIRE CLUSTER,STR,Prod,Vmware,TRUE,8/24/2020,3,36,768,108,440
117,STR GENESYS CLUSTER,STR,Prod,Vmware,TRUE,8/24/2020,7,36,768,1312,3894
118,STR JBOSS CLUSTER2,STR,Prod,Vmware,TRUE,8/24/2020,7,36,768,1319,2752
119,STR JBOSS Cluster1,STR,Prod,Vmware,TRUE,8/24/2020,11,36,768,2725,4666
120,STR Large Windows,STR,Prod,Vmware,FALSE,8/24/2020,0,32,3072,0,0
121,STR Management,STR,Prod,Vmware,TRUE,8/24/2020,4,36,768,210,648
122,STR NON-SENSITIVE LINUX2,STR,Prod,Vmware,TRUE,8/24/2020,14,36,1535,4000,12717
123,STR NON-SENSITIVE WINDOWS2,STR,Prod,Vmware,TRUE,8/24/2020,12,36,1535,2918,8173
124,STR Non-Sensitive Linux,STR,Prod,Vmware,TRUE,8/24/2020,14,36,1535,4367,14774
125,STR Non-Sensitive Windows,STR,Prod,Vmware,TRUE,8/24/2020,10,36,1535,1976,6099
126,STR Platinum Linux Prod1,STR,Prod,Vmware,TRUE,8/24/2020,6,36,768,1024,2476
127,STR Platinum Windows Prod1,STR,Prod,Vmware,TRUE,8/24/2020,3,36,768,216,604
128,Windsor UCS Cluster 1,Windsor,NonProd,Vmware,TRUE,8/24/2020,3,24,384,198,475
129,Des Moines UCS Cluster 1,Des Moines,NonProd,Vmware,TRUE,8/24/2020,3,24,384,77,200
130,West Chester UCS Cluster 1,West Chester,NonProd,Vmware,TRUE,8/24/2020,3,24,384,182,427
131,Braintree UCS Cluster 1,BrainTree,NonProd,Vmware,TRUE,8/24/2020,3,24,384,90,264
132,STR NonBillable Cluster,STR,Prod,Vmware,TRUE,8/24/2020,4,36,1535,445,1228
133,STR NON-PROD LINUX,STR,NonProd,Vmware,TRUE,8/24/2020,3,36,1535,680,2376
134,Chandler UCS Cluster 1,MPL,NonProd,Vmware,TRUE,8/24/2020,3,24,384,44,120
